Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Panchakanya Mai Hydropower,2025/26 Q3,319.00,344.26,7.00,-0.31%,1.27%,-4.72%,1.27%,-17.08%,"3,509,000,000.00","1,100,000.00","-167,222.84","291,624.72","254,426.69","82,255.25",0.00,85.27%,2.96%,82.92%,34.53%,-2.74%,86.75%,2.46%,68.49%,34.34%,2.69%,11.75%,-0.73%,1.04%,5.42%,-0.34%,0.46%,9.97,-0.61,0.85,9.97,84.79,31.99,31.99,-515.77,374.12,3.76,19.69%,14.03%,78.79%,215.36%,1.64,1.30,-2.52%,-3.59%,-16.66%,-23.60%,4.34%,-0.34%,-1276.47%,49.72%,46.61,-2.82%,-3.38%,-28.99%,0.16
Kalika Power Company,2025/26 Q3,468.10,498.76,-6.90,-1.04%,0.13%,-4.35%,-11.76%,-18.46%,"4,371,817,609.50","933,949.50","219,652.91","157,485.66","137,181.44","89,475.50",0.00,84.64%,5.49%,79.34%,42.48%,39.66%,83.56%,4.49%,79.57%,50.72%,47.73%,10.42%,5.04%,8.67%,9.70%,4.69%,8.10%,12.77,6.17,10.22,12.77,123.51,36.64,36.64,75.81,45.79,3.78,5454.80%,4898.72%,10.27%,110.84%,1.32,1.16,-2.22%,-3.15%,-14.87%,-21.22%,5.06%,-0.37%,-1367.57%,55.27%,45.25,-1.72%,-6.61%,-25.22%,0.35
Ankhu Khola Jalvidhyut Company Ltd.,2025/26 Q3,374.00,378.98,-11.40,3.89%,7.78%,6.13%,93.78%,78.39%,"7,480,000,000.00","2,000,000.00","-151,527.96","172,480.16","142,440.52","38,335.96",0.00,77.38%,7.56%,69.84%,17.36%,-20.86%,80.74%,4.15%,76.59%,45.08%,21.61%,2.76%,-1.71%,2.50%,2.03%,-1.26%,1.79%,2.55,-1.58,2.28,2.55,92.42,146.33,146.33,-235.66,163.70,4.04,1706.56%,724.27%,28.28%,135.66%,1.20,1.13,-1.81%,-2.59%,-15.62%,-22.61%,7.03%,1.09%,644.95%,34.89%,54.14,6.57%,22.52%,-15.00%,1.76
Joshi Hydropower Development Company Ltd,2025/26 Q2,284.00,285.15,-21.90,7.17%,11.81%,2.16%,1.07%,-12.31%,"1,740,380,400.00","612,810.00","-196,823.52","4,866.78","2,306.38","-21,958.55",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,36.18%,75.34%,-39.16%,-222.23%,-358.01%,-11.08%,-9.43%,-17.36%,-11.08%,-9.43%,-15.59%,-7.16,-6.10,-7.53,-7.16,67.88,-39.62,-39.62,-46.54,-37.69,4.18,15.69%,15.69%,8.23%,100.00%,1.24,0.71,-2.31%,-3.30%,-14.67%,-20.85%,4.81%,-0.30%,-1603.33%,6.67%,57.34,4.52%,-7.35%,-25.44%,3.57
Upper Tamakoshi Hydropower Ltd,2025/26 Q3,194.10,203.08,-2.90,0.05%,1.25%,-5.73%,11.62%,-3.01%,"41,110,380,000.00","21,180,000.00","-12,166,945.49","7,718,105.74","7,529,543.63","286,757.55",0.00,97.31%,7.99%,89.35%,35.53%,-43.23%,98.01%,8.20%,88.40%,53.78%,-2.10%,3.73%,-27.71%,-2.13%,0.48%,-3.54%,-0.27%,1.80,-13.40,-1.03,1.80,46.69,107.52,107.52,-14.47,-188.32,4.15,453.59%,318.49%,89.62%,805.94%,1.25,1.25,-1.83%,-2.59%,-15.24%,-21.13%,4.01%,-0.06%,-6683.33%,48.91%,45.18,-2.69%,1.97%,-18.45%,-0.12
Samudayik Laghubitta Bittiya Sanstha Limited,2025/26 Q3,999.10,"1,237.87",9.10,-8.34%,-13.86%,-18.77%,-22.67%,-37.18%,"1,706,512,755.00","170,805.00","63,038.05","230,505.23","129,853.59","50,835.58",0.00,56.17%,29.20%,0.00%,33.75%,22.90%,55.20%,3.09%,0.00%,59.31%,21.66%,33.91%,35.07%,32.74%,2.79%,2.88%,2.87%,39.68,41.03,38.02,39.68,136.90,25.17,25.17,24.34,26.27,7.29,-9.35%,27.33%,90.14%,1014.60%,0.93,0.69,-2.71%,-3.83%,-16.01%,-22.40%,2.73%,-0.88%,-310.23%,99.79%,32.66,-15.86%,-9.54%,-37.18%,-6.52
Ghalemdi Hydro Limited,2025/26 Q3,228.50,239.69,-2.50,1.69%,5.59%,-2.68%,7.94%,-8.48%,"3,770,250,000.00","1,650,000.00","-81,311.48","94,471.62","70,189.43","-26,607.57",0.00,88.02%,20.44%,67.58%,10.74%,-38.76%,71.78%,15.29%,36.00%,-6.56%,-26.79%,-2.25%,-2.44%,-2.23%,-1.58%,-1.71%,-1.56%,-2.15,-2.32,-2.14,-2.15,95.07,-106.27,-106.27,-98.36,-106.63,2.40,3219.27%,91.49%,31.09%,142.29%,1.21,1.16,-1.86%,-2.65%,-14.27%,-20.35%,4.78%,-0.18%,-2655.56%,34.86%,51.96,-2.76%,-0.91%,-19.37%,0.43
Asha Laghubitta Bittiya Sanstha Ltd,2025/26 Q3,"1,085.00","1,121.58",19.00,-0.24%,1.90%,-1.85%,-9.58%,17.39%,"7,953,552,355.00","802,685.67","513,095.44","1,110,273.22","622,200.82","176,262.58",0.00,59.76%,54.39%,0.00%,17.56%,12.90%,56.16%,38.17%,0.00%,29.84%,21.07%,18.19%,15.69%,25.53%,1.98%,1.70%,2.81%,29.27,25.25,39.86,29.27,163.92,37.05,37.05,42.95,27.21,6.61,7.34%,15.20%,89.07%,915.08%,1.03,0.88,-1.89%,-2.69%,-12.47%,-17.77%,3.72%,0.30%,1240.00%,55.77%,48.75,1.65%,-0.06%,-16.22%,1.49
Shivam Cements Ltd,2025/26 Q3,645.00,656.49,-1.00,1.42%,3.55%,-4.44%,6.17%,6.77%,"35,196,414,825.00","5,593,228.71","4,771,677.43","5,080,969.47","1,269,924.17","619,192.40",0.00,27.06%,10.08%,16.97%,16.97%,13.98%,26.92%,11.00%,7.14%,7.14%,13.57%,8.07%,10.25%,9.91%,6.29%,7.99%,7.91%,14.76,18.74,18.10,14.76,185.31,43.69,43.69,34.40,35.62,3.48,170.01%,73.21%,20.81%,126.28%,1.32,1.33,-1.96%,-2.76%,-16.32%,-22.83%,3.40%,0.08%,4250.00%,34.78%,51.28,-2.13%,2.79%,-10.42%,0.62
Universal Power Company Ltd,2025/26 Q3,351.00,373.36,-4.00,1.15%,-2.47%,-5.14%,-2.77%,-6.16%,"8,002,553,949.00","2,485,123.61","371,552.08","178,563.98","140,207.22","20,506.22",0.00,-316.44%,169.23%,780.17%,-710.16%,-1333.69%,77.99%,9.90%,91.63%,55.00%,21.18%,1.00%,-9.21%,2.04%,0.67%,-6.23%,1.35%,1.10,-10.17,2.17,1.10,114.95,319.02,319.02,-34.49,161.50,3.05,647.08%,300.53%,37.53%,144.68%,1.63,1.33,-2.33%,-3.31%,-16.59%,-23.52%,3.83%,-0.13%,-2946.15%,36.91%,45.79,-2.80%,-3.42%,-16.82%,-0.73
Mountain Hydro Nepal Limited,2025/26 Q3,239.90,264.79,0.40,-2.08%,2.96%,-8.78%,-0.50%,-10.47%,"2,998,750,000.00","1,250,000.00","-790,907.70","288,943.12","151,625.54","76,743.92",0.00,51.28%,4.55%,72.43%,71.93%,74.52%,50.14%,4.38%,55.63%,55.25%,13.50%,24.12%,65.62%,14.46%,3.53%,9.61%,1.84%,8.18,22.27,4.27,8.18,36.72,29.30,29.30,10.77,56.16,6.53,31.05%,22.71%,104.79%,637.82%,1.56,1.31,-2.38%,-3.39%,-17.19%,-23.86%,4.45%,-0.23%,-1934.78%,66.28%,44.96,-6.09%,-4.20%,-25.84%,0.98
Panchthar Power Company Ltd.,2025/26 Q3,340.00,377.50,-18.00,0.59%,3.44%,-9.33%,-2.30%,-2.97%,"3,272,500,000.00","962,500.00","-37,961.36","289,281.17","253,691.20","60,193.88",0.00,52.40%,10.09%,43.14%,-3.89%,-60.85%,89.22%,7.99%,73.31%,49.35%,17.70%,8.54%,-12.90%,7.21%,3.01%,-4.54%,2.46%,8.33,-12.59,6.82,8.33,96.05,40.77,40.77,-27.00,49.82,3.53,26.97%,26.97%,73.44%,285.84%,1.33,1.13,-2.15%,-3.05%,-15.39%,-21.65%,3.85%,-0.06%,-6416.67%,43.30%,44.35,-7.80%,-1.13%,-23.49%,0.97
Himalaya Urja Bikas Company Limited,2025/26 Q3,239.10,258.00,-5.90,3.06%,5.15%,-5.12%,8.14%,-3.30%,"4,734,180,000.00","1,980,000.00","-127,765.10","345,875.65","338,958.14","59,216.33",0.00,98.00%,32.89%,65.11%,0.36%,-87.32%,98.00%,20.00%,78.01%,47.46%,15.83%,4.21%,-9.67%,3.83%,2.21%,-5.08%,1.96%,3.98,-9.15,3.56,3.98,93.54,59.96,59.96,-26.10,67.12,2.55,4226.20%,3202.52%,48.02%,191.49%,1.22,1.30,-2.00%,-2.84%,-17.02%,-24.03%,4.36%,-0.09%,-4844.44%,23.85%,52.36,-4.43%,-1.94%,-21.61%,0.91
Gurans Laghubitta Bittiya Sanstha,2025/26 Q3,"1,801.00","1,837.16",24.80,-1.04%,3.51%,1.18%,-8.10%,-13.21%,"2,086,449,495.00","132,358.05","91,208.60","225,175.89","133,490.62","40,327.57",0.00,60.47%,42.09%,0.00%,24.19%,18.09%,58.92%,40.62%,0.00%,24.75%,17.61%,24.75%,25.24%,26.80%,2.30%,2.35%,2.41%,40.62,41.42,39.89,40.62,168.91,44.33,44.33,43.47,45.14,10.66,3.17%,9.57%,90.55%,1058.42%,0.94,0.70,-2.80%,-3.99%,-19.64%,-28.36%,4.03%,-0.32%,-1259.38%,57.19%,51.27,2.29%,-4.93%,-18.95%,2.33
Ganapati Microfinance Bittiya Sanstha,2025/26 Q3,"1,183.10","1,326.58",-16.90,-3.20%,-1.00%,-10.84%,-22.37%,-29.94%,"1,793,042,472.60","151,554.53","105,340.89","252,511.96","147,974.82","61,044.92",0.00,57.94%,-53.07%,0.00%,114.29%,81.35%,58.60%,27.94%,0.00%,33.48%,23.44%,30.28%,96.14%,29.67%,3.14%,9.98%,3.08%,53.70,170.53,52.94,53.70,169.50,22.02,22.02,6.93,22.34,6.97,-24.83%,30.85%,90.23%,1023.40%,0.98,0.84,-2.23%,-3.17%,-14.11%,-19.98%,3.19%,-0.69%,-462.32%,78.89%,38.89,-6.85%,-12.08%,-29.99%,-0.61
Union Hydropower Limited,2025/26 Q3,379.00,455.01,-6.00,-1.02%,-1.56%,-29.03%,-20.33%,-0.90%,"2,842,500,000.00","750,000.00","34,397.95","63,512.37","62,016.98","29,457.19",0.00,97.46%,22.64%,74.91%,22.79%,22.33%,97.78%,17.13%,80.67%,44.30%,42.35%,5.02%,1.59%,4.39%,5.02%,1.59%,4.39%,5.23,1.65,4.49,5.23,104.58,72.37,72.37,228.87,84.24,3.62,5362.61%,2828.69%,0.42%,100.00%,1.68,1.25,-2.52%,-3.59%,-17.59%,-24.95%,5.72%,-0.08%,-7150.00%,56.53%,36.15,-16.05%,-15.10%,-32.32%,-0.66
Swabhimaan Laghubitta Bittiya Sanstha Ltd,2025/26 Q3,"1,525.00","1,605.89",25.00,1.67%,-4.08%,-1.87%,-10.29%,-21.36%,"2,340,043,875.00","153,445.50","177,374.15","312,868.44","175,447.84","43,690.18",0.00,57.82%,46.82%,0.00%,19.84%,13.89%,58.47%,32.67%,0.00%,36.46%,17.91%,18.00%,17.86%,27.52%,1.72%,1.71%,2.52%,37.96,37.66,52.33,37.96,215.59,40.16,40.16,40.49,29.13,7.07,9.02%,9.81%,90.16%,1015.99%,0.93,0.56,-2.25%,-3.19%,-12.53%,-17.84%,3.64%,-0.42%,-866.67%,28.48%,46.85,-1.49%,-5.62%,-21.36%,-7.44
Infinity Laghubitta Bittiya Sanstha Limited,2025/26 Q3,879.00,933.25,9.00,-0.55%,1.62%,-5.99%,-9.56%,-27.58%,"4,372,286,640.00","497,415.94","199,323.59","542,769.88","289,689.20","75,782.07",0.00,49.46%,42.67%,0.00%,14.22%,10.14%,55.42%,33.47%,0.00%,30.48%,21.32%,14.67%,9.24%,23.12%,1.66%,1.05%,2.72%,20.31,12.79,33.95,20.31,140.07,43.27,43.27,68.67,25.89,6.27,-0.64%,25.52%,88.67%,882.86%,0.98,0.75,-1.99%,-2.83%,-16.21%,-22.88%,2.79%,-0.69%,-404.35%,48.14%,46.33,-2.80%,-9.89%,-30.63%,2.94
Rasuwagadhi Hydropower Company Limited,2025/26 Q3,256.50,279.33,-1.50,-0.62%,-1.42%,-7.07%,-5.70%,-22.03%,"17,549,986,500.00","6,842,100.00","-2,050,234.00","777,725.00","578,552.00","-1,239,653.00",0.00,87.21%,1.79%,83.54%,36.64%,-30.22%,74.47%,3.10%,67.98%,-18.35%,-139.22%,-33.94%,-12.99%,-28.92%,-8.42%,-3.22%,-7.44%,-24.15,-9.24,-23.10,-24.15,70.03,-10.61,-10.61,-27.73,-11.10,3.66,31.98%,29.90%,97.12%,401.84%,1.28,1.33,-2.09%,-2.96%,-16.10%,-22.51%,3.35%,-0.46%,-728.26%,51.90%,41.23,-5.97%,-4.44%,-22.03%,-0.53
Sanjen Jalavidhyut Company Limited,2025/26 Q3,272.50,299.15,-1.50,-0.55%,0.07%,-9.17%,-4.92%,-13.85%,"9,946,250,000.00","3,650,000.00","-653,248.72","1,191,213.07","1,031,857.45","21,538.64",0.00,85.65%,5.91%,78.44%,29.74%,-30.23%,85.36%,3.52%,81.91%,45.74%,-0.94%,0.94%,-11.45%,-0.49%,0.24%,-2.92%,-0.12%,0.78,-9.53,-0.41,0.78,82.10,346.33,346.33,-28.58,-664.27,3.31,47.99%,36.07%,82.12%,393.69%,1.25,1.30,-1.94%,-2.76%,-14.84%,-20.75%,3.31%,-0.31%,-1067.74%,52.89%,43.48,-9.35%,-4.62%,-23.88%,-0.06
Saptakoshi Development Bank Ltd,2025/26 Q4,817.00,832.83,-1.90,-2.73%,6.17%,5.42%,-8.20%,-11.61%,"6,816,545,545.00","834,338.43","-110,842.88","551,870.50","233,425.93","150,473.88","65,242.64",48.79%,24.72%,0.00%,100.20%,55.92%,42.30%,38.88%,0.00%,44.93%,27.27%,22.60%,54.93%,24.21%,1.53%,3.73%,1.66%,18.03,43.84,18.03,18.03,86.71,45.30,45.30,18.63,45.30,9.42,0.00%,17.16%,92.85%,1397.81%,1.53,1.23,-3.06%,-4.36%,-18.20%,-26.38%,6.14%,-0.20%,-3070.00%,66.16%,50.18,6.14%,-1.85%,-22.06%,7.51
Samriddhi Finance Company Limited,2025/26 Q3,370.00,388.59,-5.00,0.00%,0.00%,1.87%,-1.60%,-22.71%,"3,029,972,180.00","818,911.40","-325,119.36","191,808.63","61,420.39",740.63,651.62,37.81%,35.58%,0.00%,5.24%,-0.64%,34.88%,37.76%,0.00%,26.64%,25.51%,0.20%,-0.35%,14.13%,0.03%,-0.05%,1.95%,0.12,-0.20,8.35,0.12,60.29,"3,068.28","3,068.28","-1,765.87",44.30,6.13,0.00%,39.65%,86.87%,761.65%,1.59,1.50,-2.67%,-3.79%,-17.57%,-25.00%,3.47%,-0.54%,-642.59%,61.56%,44.37,0.76%,-5.22%,-22.71%,-0.28
Nepal Finance,2025/26 Q3,568.00,604.16,-2.00,-1.22%,0.18%,0.71%,-8.09%,-22.27%,"4,765,201,352.00","775,646.74","173,735.51","247,365.06","58,104.53","-78,625.20","-85,074.82",30.83%,30.89%,0.00%,9.97%,9.97%,28.53%,30.98%,0.00%,-13.93%,-16.32%,-11.09%,3.69%,-6.00%,-1.91%,0.63%,-1.11%,-13.51,4.49,-7.55,-12.51,122.39,-45.38,-42.02,126.24,-75.20,4.64,0.00%,68.00%,83.17%,594.01%,1.50,2.18,-2.71%,-3.86%,-25.42%,-36.58%,3.66%,-0.50%,-732.00%,57.80%,43.70,2.76%,-4.85%,-22.99%,-0.52
Himal Dolakha Hydropower Company Limited,2025/26 Q3,209.90,220.62,-4.00,-1.69%,1.99%,-5.02%,19.94%,3.71%,"5,877,200,000.00","2,800,000.00","-725,350.87","69,604.77","14,944.97","-91,600.35",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,49.98%,34.88%,15.11%,-57.35%,-70.16%,-5.84%,-5.95%,-4.02%,-5.34%,-5.44%,-3.68%,-4.36,-4.44,-3.04,-4.36,74.09,-48.12,-48.12,-47.23,-68.83,2.83,1262.25%,163.77%,10.88%,109.40%,1.43,1.33,-2.00%,-2.86%,-15.21%,-21.51%,5.65%,0.04%,14125.00%,62.09%,43.85,-4.48%,4.60%,-20.79%,-0.27
Nepal Reinsurance Company Limited,2025/26 Q3,938.90,"1,037.21",-1.10,-0.65%,-0.12%,5.49%,-25.60%,-37.06%,"126,020,914,681.90","13,422,187.08","-4,906,557.12","6,681,667.25","-5,727,392.77","-5,840,295.33",0.00,91.02%,1.71%,89.31%,89.14%,89.14%,-44.47%,2.05%,-46.52%,-46.67%,-48.58%,-57.34%,63.17%,-33.31%,-19.90%,21.93%,-14.21%,-58.01,63.91,-39.88,-58.01,109.20,-16.18,-16.18,14.68,-23.54,8.59,0.00%,0.00%,62.93%,269.73%,1.26,1.28,-1.93%,-2.73%,-16.44%,-23.32%,5.12%,-0.93%,-550.54%,47.82%,44.43,6.50%,-14.99%,-45.79%,-2.52
NIC ASIA Laghubitta Bittiya Sanstha Limited,2025/26 Q3,549.00,575.63,2.90,-0.54%,-0.54%,-4.52%,-1.08%,-21.90%,"9,549,525,600.00","1,739,440.00","475,713.51","1,658,454.32","854,070.94","106,916.00",0.00,53.26%,38.52%,0.00%,21.64%,15.49%,50.31%,69.50%,0.00%,-13.10%,-15.55%,6.57%,16.23%,-15.41%,0.62%,1.52%,-1.54%,8.19,20.25,-19.72,8.19,127.34,66.98,66.98,27.09,-27.83,4.31,-0.07%,108.37%,90.52%,1055.16%,1.14,1.18,-1.79%,-2.51%,-14.44%,-19.86%,3.07%,-0.47%,-653.19%,50.91%,42.78,-1.17%,-1.45%,-21.90%,-0.48
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,2025/26 Q3,920.00,964.47,2.00,-1.08%,0.00%,-3.36%,-0.54%,-19.38%,"3,377,720,200.00","367,143.40","290,810.33","605,751.24","333,973.72","93,684.50",0.00,56.50%,39.04%,0.00%,22.93%,16.69%,54.37%,40.12%,0.00%,22.03%,15.56%,19.49%,21.15%,21.31%,1.97%,2.14%,2.05%,34.02,36.93,34.53,34.02,179.20,27.04,27.04,24.90,26.64,5.13,-1.21%,12.19%,89.32%,936.38%,0.99,1.07,-1.80%,-2.55%,-14.64%,-20.60%,2.59%,-0.44%,-588.64%,59.76%,42.00,0.54%,-2.95%,-20.64%,-0.06
NRN Infrastructure and Development Limited,2025/26 Q3,"1,387.00","1,467.46",5.00,-1.07%,1.09%,1.32%,1.79%,-16.59%,"17,814,243,801.00","1,798,121.20","1,302,531.90","27,788.28","22,072.27","-74,072.84",0.00,-11.14%,0.00%,158.36%,158.36%,-1337.38%,87.47%,0.00%,90.83%,90.83%,59.09%,-3.17%,-8.82%,17.88%,-2.80%,-7.80%,15.31%,-5.49,-15.30,29.34,-5.49,172.43,-252.52,-252.52,-90.65,47.27,8.04,374.19%,374.19%,11.08%,112.46%,1.51,1.50,-2.37%,-3.40%,-18.56%,-27.22%,4.90%,-0.33%,-1484.85%,56.08%,43.73,1.86%,-2.91%,-18.12%,-5.70
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,138.70","1,313.07",22.70,-1.18%,-2.68%,-7.89%,-22.01%,-57.04%,"2,811,063,142.00","246,865.73","169,856.58","396,858.76","221,785.78","44,325.53",0.00,59.78%,42.62%,0.00%,23.96%,16.78%,55.82%,47.84%,0.00%,15.49%,10.84%,14.59%,22.99%,15.42%,1.39%,2.19%,1.43%,23.94,37.73,23.82,23.94,168.80,47.56,47.56,30.17,47.78,6.74,2.16%,14.92%,90.31%,1031.03%,1.08,0.79,-2.47%,-3.48%,-19.30%,-27.30%,6.40%,-1.46%,-438.36%,48.32%,40.27,-6.03%,-16.75%,-57.04%,-0.12
Liberty Energy Company Limited,2025/26 Q3,224.00,227.54,-5.90,-0.36%,8.32%,0.09%,14.58%,-6.83%,"5,040,000,000.00","2,250,000.00","-680,156.13","158,576.96","140,239.84","10,088.93",0.00,81.49%,-11.14%,92.38%,96.34%,124.24%,86.91%,3.88%,83.05%,42.93%,-11.00%,0.86%,4.81%,-1.97%,0.23%,1.26%,-0.54%,0.59,3.34,-1.38,0.59,69.77,374.66,374.66,66.92,-161.26,3.21,111502.64%,3600.66%,73.75%,379.63%,1.37,1.23,-2.13%,-3.04%,-15.11%,-21.22%,4.63%,-0.24%,-1929.17%,51.03%,54.84,1.21%,1.03%,-16.67%,0.88
Shiva Shree Hydropower Ltd,2025/26 Q3,202.50,211.16,-2.50,-0.25%,3.58%,-4.93%,32.61%,0.58%,"2,989,710,000.00","2,952,800.00","-1,340,896.40","320,610.65","312,874.56","-68,890.55",0.00,95.90%,62.27%,33.78%,-16.93%,-72.75%,97.60%,26.28%,71.41%,39.38%,-36.32%,-5.59%,-11.18%,0.00%,-2.00%,-4.01%,-3.46%,-3.11,-6.22,-4.88,-3.11,54.58,-65.09,-65.09,-32.55,-41.49,3.70,93.10%,93.08%,73.85%,280.71%,1.18,0.96,-1.79%,-2.54%,-12.24%,-17.19%,5.35%,0.01%,53500.00%,51.94%,46.39,-3.25%,5.96%,-16.97%,-0.12
Sanima GIC Insurance Limited,2025/26 Q3,456.30,479.13,-0.40,-0.76%,-0.83%,-0.59%,0.29%,-15.95%,"9,810,450,000.00","2,150,000.00","192,757.99","904,522.81","417,434.30","51,364.04",0.00,70.62%,25.68%,46.57%,42.78%,36.88%,54.20%,33.40%,20.27%,17.92%,12.38%,2.99%,25.74%,7.42%,0.73%,6.30%,1.84%,3.18,27.39,7.82,3.03,153.03,150.41,143.24,16.65,58.32,1.42,0.00%,0.00%,62.97%,270.06%,1.10,1.23,-1.83%,-2.60%,-14.99%,-20.95%,2.98%,-0.36%,-827.78%,55.34%,40.61,2.16%,2.61%,-17.25%,-0.93
Narayani Development Bank,2025/26 Q3,843.00,"1,083.15",13.10,8.05%,21.40%,-10.32%,-28.56%,-5.16%,"2,212,601,868.00","524,993.05","-351,872.54","16,332.21","-2,454.69","-49,781.51","-49,781.51",-2.16%,163.15%,0.00%,-69.59%,-38.40%,-18.35%,175.69%,0.00%,-328.35%,-287.59%,-42.01%,-6.16%,-64.14%,-10.11%,-1.48%,-10.85%,-12.64,-1.85,-11.86,-12.64,32.97,-66.67,-66.67,-454.62,-71.06,25.56,0.00%,80.94%,74.82%,397.17%,0.98,0.80,-2.35%,-3.38%,-18.94%,-27.73%,8.11%,-0.11%,-7372.73%,16.65%,62.51,-15.36%,-24.52%,-52.90%,10.43
Mountain Energy Nepal Limited,2025/26 Q3,600.10,594.87,0.10,0.72%,6.40%,-0.97%,6.21%,16.26%,"15,618,897,515.80","3,123,258.85","1,319,224.63","1,079,737.86","915,858.36","527,633.11",0.00,67.95%,5.95%,62.00%,22.23%,-8.36%,84.16%,3.57%,80.65%,62.67%,47.24%,15.81%,-1.24%,16.45%,10.27%,-0.81%,10.20%,22.52,-1.76,22.14,22.52,142.23,26.64,26.64,-339.13,27.09,4.21,328.13%,250.60%,43.68%,153.36%,0.96,0.86,-2.01%,-2.87%,-11.96%,-16.79%,2.54%,0.23%,1104.35%,42.35%,59.63,3.52%,2.38%,-7.41%,1.84
United IDI Mardi RB Hydropower Limited,2025/26 Q3,535.10,543.58,-3.90,-0.82%,4.08%,-0.26%,3.14%,-10.72%,"2,465,869,224.00","483,865.20","71,799.53","159,856.25","140,587.04","69,508.39",0.00,91.10%,9.58%,81.52%,66.81%,43.74%,87.01%,9.96%,77.04%,55.45%,26.61%,16.99%,15.59%,9.38%,6.91%,6.34%,3.63%,19.15,17.57,10.09,19.15,114.83,27.93,27.93,30.44,53.02,4.65,74.11%,74.11%,65.39%,241.05%,1.48,1.01,-2.42%,-3.44%,-16.87%,-24.02%,2.89%,-0.21%,-1376.19%,58.36%,50.43,2.88%,-1.58%,-14.04%,0.64
Prabhu Mahalaxmi Life Insurance Limited,2025/26 Q3,438.70,472.27,1.70,-0.41%,-1.30%,-4.96%,-7.39%,-10.59%,"22,389,703,776.00","5,307,793.92","332,145.55","5,057,929.87","727,730.70","275,070.85",0.00,12.51%,6.79%,10.10%,8.91%,8.57%,15.57%,3.53%,7.24%,5.83%,5.29%,6.57%,10.17%,6.70%,1.56%,2.42%,1.72%,6.90,10.69,7.06,6.90,115.60,63.48,63.48,41.02,62.07,4.12,0.00%,0.00%,74.53%,392.65%,0.93,1.12,-1.59%,-2.25%,-14.85%,-20.83%,3.27%,-0.23%,-1421.74%,52.19%,43.23,-1.60%,-3.93%,-17.69%,0.28
Chandragiri Hills Limited,2025/26 Q3,778.30,808.77,-11.70,-0.98%,0.43%,-2.62%,-9.39%,-17.45%,"11,939,830,253.00","1,610,795.55","3,163.97","482,935.97","206,591.77","-9,348.49",0.00,47.17%,23.40%,47.17%,33.45%,18.87%,52.67%,21.84%,52.67%,36.43%,19.43%,-0.78%,9.43%,5.76%,-0.32%,3.81%,2.44%,-0.77,9.35,5.75,-0.77,100.19,"-1,005.78","-1,005.78",83.19,135.18,7.76,452.99%,410.23%,59.38%,246.21%,1.07,1.07,-1.84%,-2.61%,-13.92%,-19.38%,3.22%,-0.39%,-825.64%,57.27%,47.84,0.37%,-5.34%,-23.07%,-0.39
Nepal Infrastructure Bank Limited,2025/26 Q4,246.00,262.60,1.00,-0.81%,0.82%,-6.46%,-7.17%,-12.24%,"53,136,000,000.00","21,600,000.00","3,718,738.00","2,424,011.00","1,446,678.00","987,396.00","987,396.00",59.22%,15.35%,0.00%,80.48%,55.77%,59.68%,12.40%,0.00%,58.45%,40.73%,3.92%,5.47%,3.90%,2.38%,3.31%,2.38%,4.57,6.37,4.57,4.57,117.21,53.81,53.81,38.60,53.81,2.09,0.00%,47.23%,39.50%,165.28%,1.24,1.35,-1.78%,-2.53%,-14.83%,-20.80%,2.74%,-0.24%,-1141.67%,58.24%,39.55,-3.28%,-3.91%,-16.61%,-0.32
